[['Ruth Davis (basketball)', 'award', 'Pac-12 Conference Women\'s Basketball Player of the Year', '2015-01-01']]
[['Coalition for Epidemic Preparedness Innovations', 'endLeader', 'John-Arne Røttingen', '2017-04-01']]
[['Frédéric Keck', 'startAcademicDegree', 'Habilitation', '2017-04-27']]
[['Hebei', 'startLeader', 'Xu Qin', '2017-04-07']]
[['In Search Of Lost Time', 'startContentLocation', 'National City (DC Comics)', '2018-04-01']]
[['Of Two Minds', 'startContentLocation', 'National City (DC Comics)', '2018-04-01']]
[['Of Two Minds', 'startContentLocation', 'Juru', '2018-04-01']]
[['In Search Of Lost Time', 'startContentLocation', 'Juru', '2018-04-01']]
[['Leixiao Yu', 'endWorksFor', 'Freie Universität Berlin Institut Für Chemie Und Biochemie', '2018-04-01']]
[['Man Of Steel', 'startContentLocation', 'Al\'S Dive Bar', '2018-04-01']]
[['Shifting Allegiances', 'startContentLocation', 'Star City (comics)', '2018-04-01']]
[['Schott Through The Heart', 'startContentLocation', 'D.E.O. Headquarters', '2018-04-01']]
[['Schott Through The Heart', 'startContentLocation', 'National City (DC Comics)', '2018-04-01']]
[['Murat Artan', 'endWorksFor', 'Pohang University of Science and Technology', '2018-04-09']]
[['In Search Of Lost Time', 'startContentLocation', 'Lena Luthor\'S Office', '2018-04-01']]
[['Kyung Min Kim', 'endWorksFor', 'Korea Center For Disease Control And Prevention', '2018-04-12']]
[['Of Two Minds', 'startContentLocation', 'D.E.O. Headquarters', '2018-04-01']]
[['In Search Of Lost Time', 'startContentLocation', 'Al\'S Dive Bar', '2018-04-01']]
[['Jordi Boada', 'endWorksFor', 'University of New South Wales', '2018-04-30']]
[['In Search Of Lost Time', 'startContentLocation', 'D.E.O. Headquarters', '2018-04-01']]
[['Shifting Allegiances', 'startContentLocation', 'Moscow', '2018-04-01']]
[['Goduine Koyalipou', 'startMemberOf', 'France national under-18 football team', '2018-04-18']]
[['Pelle Dam', 'endWorksFor', 'JP u002F Politikens Hus', '2018-04-01']]
[['Maria Emmanouilidou', 'endWorksFor', 'University of the West of England', '2018-04-02']]
[['Karlsruhe University of Arts and Design', 'startLeader', 'Johan Frederik Hartle', '2018-04-01']]
[['Mariano Rajoy', 'award', 'Grand Cross Of The Military Order Of Christ', '2018-04-15']]
[['Direction De La Maintenance Aéronautique', 'startLeader', 'Monique Legrand-Larroche', '2018-04-20']]
[['Jacopo Vialetto', 'endWorksFor', 'École normale supérieure (Paris)', '2019-04-30']]
[['Ids Praha', 'startLeader', 'František Laudát', '2019-04-01']]
[['Marta Francesconi', 'endWorksFor', 'University College London', '2019-04-07']]
[['Jonne Åkerla', 'endWorksFor', 'Central Finland Hospital District', '2019-04-30']]
[['Tomasz Pawłowski', 'startAcademicDegree', 'Habilitation', '2019-04-15']]
[['Clement Lee', 'endWorksFor', 'Newcastle University', '2019-04-12']]
[['Martin Lukačišin', 'endWorksFor', 'University of Cologne', '2019-04-01']]
[['Vladivostok', 'startLeader', 'Oleg Vladimirovich Humeniuk', '2019-04-05']]
[['Andreas Paulus', 'endWorksFor', 'Maastricht University', '2019-04-02']]
[['Lauren Spinner', 'endWorksFor', 'University of Kent', '2019-04-12']]
[['Hoeksche Waard (municipality)', 'startLeader', 'Govert Veldhuijzen', '2019-04-01']]
[['Electoral Commission (United Kingdom)', 'startLeader', 'Bob Posner', '2019-04-01']]
[['Delaram Jarchi', 'endWorksFor', 'University of Kent', '2019-04-30']]
[['Welcome to the Family (2018 TV series)', 'endActor', 'Paula Malia', '2019-04-15']]
[['Prashant Tarale', 'endWorksFor', 'Nagpur Veterinary College', '2019-04-30']]
[['Leo Beulen', 'award', 'Officer Of The Order Orange-Nassau', '2020-04-10']]
[['Kentaro Tohma', 'endWorksFor', 'Oak Ridge Institute for Science and Education', '2020-04-26']]
[['Theodore D C Hobson', 'endWorksFor', 'University of Liverpool', '2020-04-30']]
[['Ben Perry', 'startMemberOf', 'Israel Premier Tech Academy', '2020-04-01']]
[['Rajarshi Sinha-Roy', 'endWorksFor', 'Délégation Provence Et Corse', '2020-04-30']]
[['Maksim Savostikov', 'startMemberOf', 'FC Viktoryja Marjina Horka', '2020-04-01']]
[['Yusuke Takezawa', 'endWorksFor', 'Tohoku University', '2020-04-30']]
[['Shandong', 'startLeader', 'Li Ganjie', '2020-04-17']]
[['Pavel Bogush', 'startMemberOf', 'FC Molodechno', '2020-04-01']]
[['Bron Breakker', 'startMemberOf', 'Baltimore Ravens', '2020-04-26']]
[['Natalie J. Forsdick', 'startAcademicDegree', 'Doctor of Philosophy', '2020-04-01']]
[['SAP', 'endLeader', 'Jennifer Morgan', '2020-04-01']]
[['Dorota Żyżelewicz', 'startAcademicDegree', 'Scientific Professorship Degree', '2021-04-22']]
[['UK Health Security Agency', 'endLeader', 'Dido Harding', '2021-04-01']]
[['Cory Greenberg', 'startMemberOf', 'Dauner–Akkon', '2021-04-30']]
[['Artur Sagitov', 'startMemberOf', 'FC Smorgon', '2021-04-01']]
[['Chad', 'endLeader', 'Idriss Déby', '2021-04-20']]
[['Aliaksiej Matlach', 'startMemberOf', 'FC Osipovichi', '2021-04-01']]
[['Syarhey Ignatovich', 'startMemberOf', 'FC Isloch Minsk Raion', '2022-04-01']]
[['Christine De Mazières', 'award', 'Chevalier Des Arts Et Des Lettres', '2022-04-15']]
[['Kulan', 'endLeader', 'Bracha Barad', '2022-04-28']]
[['Tasmania', 'endLeader', 'Peter Gutwein', '2022-04-08']]
[['Kherson', 'endLeader', 'Ihor Kolykhaiev', '2022-04-27']]
[['Mány', 'endLeader', 'Zoltán Ugron', '2022-04-30']]
[['Bbn Holding', 'endLeader', 'Norman Welsh', '2022-04-29']]
[['Gilles Pélisson', 'award', 'Officer Of Arts And Letters', '2022-04-15']]
[['Electoral Commission (United Kingdom)', 'endLeader', 'Bob Posner', '2022-04-01']]
[['Vénus Khoury-Ghata', 'award', 'Commandeur Des Arts Et Des Lettres‎', '2022-04-15']]
[['Benoît Puga', 'award', 'Commandeur Des Arts Et Des Lettres‎', '2022-04-15']]
[['Ceará', 'endLeader', 'Camilo Santana', '2022-04-02']]
[['Jessy Ferrere', 'award', 'Knight Of The National Order Of Merit', '2015-05-15']]
[['Andrew T. Francis', 'startAcademicDegree', 'Bachelor of Science', '2015-05-01']]
[['Malin Persson', 'startWorksFor', 'Lund University', '2015-05-01']]
[['Manuel Guinea Díaz', 'endWorksFor', 'Umeå University', '2015-05-01']]
[['Honglin Liu', 'startWorksFor', 'Hunan University', '2015-05-01']]
[['Amélie Dendooven', 'startWorksFor', 'Antwerp University Hospital', '2015-05-01']]
[['Jasmina Stevanov', 'startWorksFor', 'University of Mainz', '2015-05-15']]
[['Tao Jiang', 'startWorksFor', 'Fudan University', '2015-05-30']]
[['Piyush Jain', 'startWorksFor', 'University of Toronto', '2015-05-01']]
[['Telstra', 'endLeader', 'David Thodey', '2015-05-01']]
[['Sara Cunha', 'startWorksFor', 'Abel Salazar Biomedical Sciences Institute', '2015-05-01']]
[['Michaela A U Hoesl', 'startWorksFor', 'University Medical Center Utrecht', '2015-05-01']]
[['Piotr Henryk Skarżyński', 'startAcademicDegree', 'Habilitation', '2015-05-13']]
[['Riza Batista-Navarro', 'startWorksFor', 'University of Manchester', '2015-05-15']]
[['James E Taylor', 'startWorksFor', 'University of St Andrews', '2015-05-01']]
[['Papa Alioune Ndour', 'startWorksFor', 'Institut National De La Transfusion Sanguine', '2015-05-01']]
[['Ren Sheng', 'startWorksFor', 'Harvard University', '2015-05-01']]
[['Faumont', 'startLeader', 'Henri Coquelle', '2015-05-06']]
[['Juan Gabriel Guzmán', 'startMemberOf', 'C.S. Cartaginés', '2015-05-14']]
[['Nelly Tremblay', 'startWorksFor', 'Centre For Research And Advanced Studies Merida Unit', '2015-05-01']]
[['Alan Rosales', 'startWorksFor', 'Icahn School of Medicine at Mount Sinai', '2015-05-01']]
[['Elena Caro-Morán', 'endWorksFor', 'University of Seville', '2016-05-01']]
[['Gianluca Pellino', 'endWorksFor', 'Università degli Studi della Campania Luigi Vanvitelli', '2016-05-19']]
[['Marina Ruy Barbosa', 'endNotableWork', 'Totalmente Demais', '2016-05-01']]
[['Generali Italia', 'startLeader', 'Marco Sesana', '2016-05-01']]
[['Emma M Brown', 'endWorksFor', 'Bolton NHS Foundation Trust', '2016-05-20']]
[['Courtney A Miller', 'startWorksFor', 'Waisman Center', '2016-05-15']]
[['Yining Jiang', 'startWorksFor', 'Boston University', '2016-05-01']]
[['Iman Avazpour', 'startWorksFor', 'Deakin University', '2016-05-02']]
[['Claire Bodonyi', 'award', 'Knight Of The National Order Of Merit', '2016-05-13']]
[['María J Roldán-Ruiz', 'startWorksFor', 'Saputo Dairy UK', '2016-05-01']]
[['Björn Ross', 'startWorksFor', 'University of Duisburg-Essen', '2016-05-01']]
[['Adnan Maqbool', 'endWorksFor', 'Changwon National University College Of Engineering', '2016-05-31']]
[['Xu-Lin Chen', 'endWorksFor', 'Fujian Institute Of Research On The Structure Of Matter', '2016-05-31']]
[['Fuchien Province, Republic of China', 'startLeader', 'Chang Ching-sen', '2016-05-20']]
[['Kathryn R Dalton', 'startWorksFor', 'Johns Hopkins Bloomberg School of Public Health', '2016-05-01']]
[['Wim Pijbes', 'award', 'Officer Of The Order Orange-Nassau', '2016-05-12']]
[['Sanya B Taneja', 'startWorksFor', 'IIT Guwahati', '2017-05-26']]
[['Raman Tsishkou', 'startMemberOf', 'Minsk Cycling Club (men\'s team)', '2017-05-26']]
[['Tadeusz J. Zieliński', 'startAcademicDegree', 'Habilitation', '2017-05-22']]
[['Taysom Hill', 'startMemberOf', 'Green Bay Packers', '2017-05-05']]
[['Heumen', 'endLeader', 'Marriët Mittendorff', '2017-05-18']]
[['Pascale Regnault-Dubois', 'award', 'Officer Of The National Order Of Merit', '2017-05-03']]
[['New Zealand national rugby union team', 'award', 'Princess of Asturias Awards', '2017-05-01']]
[['Waleed Helweh', 'endWorksFor', 'Middlebury College', '2017-05-01']]
[['Yves Simon (singer)', 'award', 'Commander Of The National Order Of Merit', '2017-05-02']]
[['Sereina Rutschmann', 'endWorksFor', 'University of Lausanne', '2017-05-31']]
[['Lauren G. Shoemaker', 'startWorksFor', 'University of Minnesota system', '2017-05-17']]
[['Gustavo Rodríguez-Coira', 'endWorksFor', 'Instituto de Astrofísica de Canarias', '2017-05-15']]
[['Marcia McNutt', 'award', 'Honorary Doctor Of The University Of Miami', '2017-05-12']]
[['Lorena De Oliveira Felipe', 'startWorksFor', 'Center For The Development Of Nuclear Technology', '2017-05-01']]
[['Joshua Milligan', 'endWorksFor', 'North Carolina State University', '2017-05-12']]
[['Guðni Th. Jóhannesson', 'award', 'Grand Cross With Collar Of The Order Of The White Rose Of Finland', '2017-05-31']]
[['Danielle Ferraz Mello', 'startWorksFor', 'Duke University', '2017-05-15']]
[['Amber L. Stuver', 'endWorksFor', 'Louisiana State University', '2017-05-01']]
[['Sam Horrell', 'startWorksFor', 'University of Hamburg', '2017-05-01']]
[['John Fraser', 'startWorksFor', 'University of Southern California', '2017-05-01']]
[['Taboun Government', 'startLeader', 'Abdelmadjid Tebboune', '2017-05-24']]
[['Melanie Standish', 'startWorksFor', 'Rush University Medical Center', '2017-05-01']]
[['Laurent Vallet', 'award', 'Knight Of The National Order Of Merit', '2017-05-02']]
[['F A O Fernandes', 'endWorksFor', 'University of Aveiro', '2017-05-01']]
[['Lorenzo Fallarino', 'startWorksFor', 'Helmholtz-Zentrum Dresden-Rossendorf', '2017-05-01']]
[['Izabela Aleixo', 'startWorksFor', 'Wageningen University & Research', '2017-05-01']]
[['Beijing', 'startLeader', 'Chen Jining', '2017-05-27']]
[['Hirokazu Yano', 'endWorksFor', 'University of Tsukuba', '2017-05-31']]
[['Yasir Suhail', 'startWorksFor', 'Johns Hopkins University', '2017-05-15']]
[['Kristopher Lamore', 'startWorksFor', 'Institut Gustave Roussy', '2017-05-01']]
[['Hsiang-Yun Wu', 'endWorksFor', 'Keio University', '2017-05-31']]
[['Nablus', 'endLeader', 'Sameeh Tbeileh', '2017-05-01']]
[['Madison L Bracken', 'endWorksFor', 'Central Connecticut State University', '2017-05-01']]
[['The Fanatical', 'startContentLocation', 'Alex Danvers\' Apartment', '2018-05-01']]
[['Trinity', 'startContentLocation', 'National City (DC Comics)', '2018-05-01']]
[['Tapos Kormoker', 'startWorksFor', 'United Nations Development Programme', '2018-05-26']]
[['Mario Vargas Llosa', 'award', 'Honorary Doctor Of The University Of Miami', '2018-05-10']]
[['Yuli Shan', 'startWorksFor', 'University of East Anglia', '2018-05-01']]
[['Staffan Krafft', 'endWorksFor', 'Vällingby Församling', '2018-05-01']]
[['Barbara Szatur-Jaworska', 'startAcademicDegree', 'Scientific Professorship Degree', '2018-05-09']]
[['Mikhail Solomonovich Gusman', 'award', '“Gizil Chinar” International Award', '2018-05-10']]
[['Sabah', 'startLeader', 'Shafie Apdal', '2018-05-12']]
[['Carmen De Jesús-Gil', 'endWorksFor', 'Bosch Gimpera Foundation', '2018-05-31']]
[['Kværner', 'startLeader', 'Karl Petter Løken', '2018-05-01']]
[['Tehran', 'startLeader', 'Mohammad-Ali Afshani', '2018-05-15']]
[['Guangfeng Liu', 'endWorksFor', 'Shandong University', '2018-05-31']]
[['Tsuneo Imamoto', 'endWorksFor', 'Shanghai Jiao Tong University', '2018-05-31']]
[['Shuntaro Yada', 'endWorksFor', 'CSIRO', '2018-05-31']]
[['Jean-Marc Aveline', 'award', 'Knight Of The Legion Of Honour', '2018-05-19']]
[['Wenliang Li', 'endWorksFor', 'Iowa State University', '2018-05-28']]
[['Giles E. Eperon', 'endWorksFor', 'University of Washington', '2018-05-01']]
[['Chad', 'startLeader', 'Idriss Déby', '2018-05-04']]
[['Wojciech Kloc', 'startAcademicDegree', 'Scientific Professorship Degree', '2018-05-09']]
[['Heilongjiang', 'startLeader', 'Wang Wentao', '2018-05-15']]
[['Upper Bavaria', 'startLeader', 'Maria Els', '2018-05-01']]
[['Digitale Gesellschaft', 'startLeader', 'Elke Steven', '2018-05-01']]
[['German Gonzalez', 'endWorksFor', 'Ideko', '2018-05-01']]
[['Lorenzo Zino', 'endWorksFor', 'Polytechnic University of Turin', '2019-05-31']]
[['Ids Praha', 'endLeader', 'František Laudát', '2019-05-01']]
[['Ewe Tel', 'endLeader', 'Sebastian Jurczyk', '2019-05-31']]
[['First Kurz government', 'endLeader', 'Sebastian Kurz', '2019-05-28']]
[['Meredith Brown', 'endWorksFor', 'ICF International', '2019-05-03']]
[['Yang Qi', 'endWorksFor', 'University of Sydney', '2019-05-11']]
[['Philippe Vayssettes', 'award', 'Knight Of The National Order Of Merit', '2019-05-29']]
[['Maxim Akimov', 'startAcademicDegree', 'Candidate Of Historical Sciences', '2019-05-16']]
[['Castiglione Olona', 'startLeader', 'Giancarlo Frigeri', '2019-05-26']]
[['Emily Herfoss', 'startMemberOf', 'Cwa Racing', '2019-05-01']]
[['Kerry Knight', 'endWorksFor', 'Cecilia Makiwane Hospital', '2019-05-31']]
[['Joanna Szczepanowska', 'startAcademicDegree', 'Scientific Professorship Degree', '2019-05-09']]
[['Katarzyna Cholewińska', 'startAcademicDegree', 'Doctorate', '2019-05-29']]
[['Province of Monza and Brianza', 'endLeader', 'Roberto Invernizzi', '2019-05-26']]
[['South West Water', 'endLeader', 'Stephen Bird', '2019-05-10']]
[['Fatemeh Shaebani Behbahani', 'endWorksFor', 'Mashhad University of Medical Sciences', '2019-05-19']]
[['Patrícia Quelhas', 'endWorksFor', 'King\'s College Hospital', '2019-05-31']]
[['FTX', 'startLeader', 'Sam Bankman-Fried', '2019-05-01']]
[['Agnieszka Zmyslowska', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-05-11']]
[['Robert Gałązkowski', 'startAcademicDegree', 'Scientific Professorship Degree', '2020-05-11']]
[['Lingwei Zheng', 'endWorksFor', 'Zhejiang University', '2020-05-01']]
[['Markus Solberg Wahl', 'endWorksFor', 'Norwegian University of Science and Technology', '2020-05-19']]
[['Ashley M. Holder', 'endWorksFor', 'Houston Methodist Hospital', '2020-05-01']]
[['Iraq', 'startLeader', 'Mustafa Al-Kadhimi', '2020-05-07']]
[['Amiruddin Hamzah', 'startMemberOf', 'Independent politician', '2020-05-28']]
[['Grand Poitiers communauté urbaine', 'endLeader', 'Alain Claeys', '2020-05-18']]
[['Joanna Warońska', 'startAcademicDegree', 'Habilitation', '2020-05-15']]
[['Joshua H Choe', 'endWorksFor', 'Columbia University', '2020-05-01']]
[['Genech', 'startLeader', 'Odile Riga', '2020-05-18']]
[['Fachhochschule Des Bundes Für Öffentliche Verwaltung', 'startLeader', 'Benjamin Limbach', '2020-05-18']]
[['Laconnex', 'endLeader', 'Hubert Dethurens', '2020-05-31']]
[['Nordea Liv', 'endLeader', 'Randi Marjamaa', '2020-05-07']]
[['Neyron', 'startLeader', 'Jean-Yves Girard', '2020-05-25']]
[['Terna Group', 'endLeader', 'Luigi Ferraris (businessman)', '2020-05-01']]
[['Lucien Roach', 'endWorksFor', 'Institut De Chimie De La Matière Condensée De Bordeaux', '2021-05-31']]
[['Aleksandr Şarovski', 'award', 'Order of Friendship', '2021-05-11']]
[['Janusz Skrzypecki', 'startAcademicDegree', 'Habilitation', '2021-05-05']]
[['Andrey Arhiptsaw', 'startMemberOf', 'Fc Homieĺski Dosliedny Liashas', '2021-05-01']]
[['Vladivostok', 'endLeader', 'Oleg Vladimirovich Humeniuk', '2021-05-18']]
[['Philippe Guglielmi', 'award', 'Commander Of The National Order Of Merit', '2021-05-21']]
[['Éric Jalon', 'award', 'Officer Of The National Order Of Merit', '2021-05-21']]
[['Hélène Resseguier', 'award', 'Knight Of The National Order Of Merit', '2021-05-21']]
[['Hubei', 'endLeader', 'Wang Xiaodong (born 1960)', '2021-05-07']]
[['Adriano Martinez-Aracil', 'endWorksFor', 'Osakidetza', '2022-05-24']]
[['Steven Moreira', 'startMemberOf', 'Columbus Crew', '2022-05-12']]
[['University of Alicante', 'startMemberOf', 'Conference Of Rectors Of Spanish Universities', '2022-05-01']]
[['Tyanai Masiya', 'startWorksFor', 'Human Sciences Research Council', '2015-06-01']]
[['Media City Bergen', 'startLeader', 'Anne Jacobsen', '2015-06-01']]
[['Gergő Ignácz', 'startWorksFor', 'Gedeon Richter (company)', '2015-06-01']]
[['Clare Burgon', 'startWorksFor', 'University of Sussex', '2015-06-01']]
[['Bijit Biswas', 'startWorksFor', 'All India Institute of Hygiene and Public Health', '2015-06-09']]
[['Hanbyoul Cho', 'startWorksFor', 'National Institutes of Health', '2015-06-10']]
[['Michael P. Richards', 'endWorksFor', 'Max Planck Institute for Evolutionary Anthropology', '2015-06-30']]
[['Piotr Hajłasz', 'startAcademicDegree', 'Scientific Professorship Degree', '2015-06-11']]
[['Pamplona', 'startLeader', 'Joseba Asirón', '2015-06-13']]
[['Bruno Jockers', 'award', 'Medal for internal security', '2015-06-30']]
[['Anthony Haddad', 'startWorksFor', 'Massachusetts General Hospital', '2015-06-19']]
[['Przemyslaw Kosinski', 'startAcademicDegree', 'Doctorate', '2015-06-02']]
[['Ciudad Real', 'startLeader', 'Pilar Zamora', '2015-06-13']]
[['Clara Bergen', 'startWorksFor', 'University of California, Los Angeles', '2015-06-15']]
[['Eddy M Domingues', 'startWorksFor', 'King Abdullah University of Science and Technology', '2015-06-15']]
[['Dorota Krzyzanowska', 'startAcademicDegree', 'Doctor of Philosophy', '2015-06-26']]
[['Andrew Saxe', 'startWorksFor', 'Harvard University', '2015-06-15']]
[['Yaiza (municipality)', 'startLeader', 'Gladys Acuña Machín', '2015-06-01']]
[['Xiaozheng Dou', 'startWorksFor', 'University of Oklahoma', '2015-06-15']]
[['Consip', 'endLeader', 'Domenico Casalino', '2015-06-01']]
[['Andrea Coschiera', 'startWorksFor', 'National Institute on Aging', '2015-06-01']]
[['Second Zaia government', 'startLeader', 'Luca Zaia', '2015-06-29']]
[['Jessica R. Peters', 'startWorksFor', 'Rhode Island Hospital', '2015-06-01']]
[['Steven T King', 'startWorksFor', 'Oak Ridge National Laboratory', '2015-06-01']]
[['Bonhee Chung', 'startWorksFor', 'Yonsei University Mirae Campus', '2015-06-01']]
[['Ruben Barroso', 'startWorksFor', 'Roslin Institute', '2015-06-01']]
[['Helen Baxter', 'startWorksFor', 'University of Hull', '2015-06-01']]
[['Abid Khan', 'endWorksFor', 'National Institute of Environmental Health Sciences', '2016-06-27']]
