[['Osniel Melgarejo', 'endMemberOf', 'Panathinaikos V. C.', '2026-01-01'], ['Coralie Lassource', 'endMemberOf', 'Apollo College Of Veterinary Medicine U002C Jaipur', '2026-01-01'], ['Raúl González ( handballer)', 'endMemberOf', 'BM Granollers', '2026-01-04'], ['Sabina Jacobsen', 'endMemberOf', 'Ikast Håndbold', '2026-01-31']]
[['Yasmany López', 'endMemberOf', 'FC Villa Clara', '2026-05-10'], ['Alain Rochat', 'startMemberOf', 'Ottawa Fury FC', '2026-05-10'], ['Mohamad Mido', 'endMemberOf', 'Syria national under-23 football team', '2026-05-10'], ['Abderrahman Atifi', 'endMemberOf', 'Hakoah Amidar Ramat Gan F. C.', '2026-05-10']]
[['Declan McManus', 'endWorksFor', 'Vila Nova Futebol Clube', '2026-05-10'], ['Rauf Aliyev', 'startMemberOf', 'Neftchala FK', '2026-05-10'], ['Kim Lee Ng', 'endMemberOf', 'Manchester United W. F. C.', '2026-05-10'], ['Leif Otto Paulsen', 'startMemberOf', 'Eintracht Braunschweig', '2026-05-10']]
[['Johann Duveau', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-05-10'], ['Gabriel da Silva', 'startMemberOf', 'Esporte Clube Bahia', '2026-05-10'], ['Jerry Santos', 'endMemberOf', 'Coastal Union F. C.', '2026-05-10'], ['Longhui Qiu', 'endMemberOf', 'Fehérvár FC', '2026-05-10']]
[['Benoit Dorais', 'startMemberOf', 'Club América', '2026-05-10'], ['Tanaboon Kesarat', 'startMemberOf', 'Suphanburi F. C.', '2026-05-10'], ['Yoon Jung-chun', 'startMemberOf', 'Trat F. C.', '2026-05-10'], ['Ágúst Gylfason', 'endMemberOf', 'Ungmennafélagið Fjölnir', '2026-05-10']]
[['Mario Cassano', 'startMemberOf', 'Persepam Madura Utama', '2026-05-10'], ['', 'endMemberOf', 'Esporte Clube Passo Fundo', '2026-05-10'], ['Vincent C U002E Holmberg', 'startMemberOf', 'Dorados de Sinaloa', '2026-05-10'], ['Armand Ossey', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2026-05-10']]
[['Rachael S Clark', 'endMemberOf', 'Great Wakering Rovers F. C.', '2026-05-11'], ['Uzair Mahomed', 'startMemberOf', 'FC Andorra', '2026-05-11'], ['Vladislav Morozov', 'startMemberOf', 'Deportivo Cali', '2026-05-11'], ['Kazuhiro Ninomiya ( footballer)', 'startMemberOf', 'Júbilo Iwata', '2026-05-11']]
[['Dorothea Brüggemann', 'endWorksFor', 'Daegu FC', '2026-05-12'], ['Makan Dembélé', 'startMemberOf', 'Al Ahli SC ( Doha)', '2026-05-12'], ['Behnam Barzay', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-05-13'], ['Oleksandr Spivak', 'endMemberOf', 'FC Zenit Saint Petersburg', '2026-05-13']]
[['Viktor Kuzmichyov', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-05-14'], ['Marius Mapou', 'startMemberOf', 'AS Lössi', '2026-05-14'], ['Jermaine Bucknor', 'startMemberOf', 'Clube 15 de Novembro', '2026-05-14'], ['Alba Prades Dòria', 'startMemberOf', 'Pays D U0027 Aix Natation', '2026-05-14']]
[['Mckay Anderson', 'endWorksFor', 'S. C. Farense', '2026-05-14'], ['Ainsley Buchanan', 'startWorksFor', 'Wolverhampton Wanderers F. C.', '2026-05-14'], ['Txiki ( footballer, born 1979)', 'startMemberOf', 'FC Andorra', '2026-05-14'], ['Dustin Corea', 'endMemberOf', 'C. D. Atlético Marte', '2026-05-14']]
[['Supaphorn Prompinit', 'startMemberOf', 'TOT S. C.', '2026-05-15'], ['Iraq', 'endMemberOf', 'FC Triesenberg', '2026-05-16'], ['Marina Ruy Barbosa', 'startMemberOf', 'Ayr United F. C.', '2026-05-16'], ['Jacintha Weimar', 'startMemberOf', 'Grêmio Foot-Ball Porto Alegrense', '2026-05-16']]
[['Muhamed Demiri', 'endMemberOf', 'FC Thun', '2026-05-16'], ['Filipe Fernandes', 'startWorksFor', 'Fehérvár FC', '2026-05-18'], ['Daniel Gramatikov', 'startMemberOf', 'PFC Slavia Sofia', '2026-05-18'], ['Djimmie Van Putten', 'endMemberOf', 'VVV-Venlo', '2026-05-18']]
[['Batista ( footballer, born 1979)', 'startWorksFor', 'São Paulo FC', '2026-05-19'], ['Adama Soumaré', 'startMemberOf', 'Comoros national football team', '2026-05-20'], ['Márcio Carioca', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-05-21'], ['Tatiana Matveeva ( footballer)', 'endMemberOf', 'Ataşehir Belediyespor', '2026-05-21']]
[['Purwaka Yudhi', 'endMemberOf', 'Indonesia national under-23 football team', '2026-05-22'], ['Pedro Martins', 'startMemberOf', 'US Orléans', '2026-05-22'], ['Georgi Nedyalkov', 'endMemberOf', 'OFC Kom Berkovitsa', '2026-05-22'], ['Connor Ogilvie', 'startMemberOf', 'New York City FC', '2026-05-23']]
[['Mattia Valoti', 'startMemberOf', 'Virtus Entella', '2026-05-25'], ['Max Hilaire', 'startMemberOf', 'Le Puy Foot 43 Auvergne', '2026-05-25'], ['Romario Martin', 'startMemberOf', 'AFC Rushden & Diamonds', '2026-05-25'], ['Kirthikaa Balapattabi', 'endMemberOf', 'Weston-super-Mare A. F. C.', '2026-05-26']]
[['Michel Breuer', 'endMemberOf', 'Sparta Rotterdam', '2026-05-29'], ['Eleni Ntokou', 'endMemberOf', 'Persiwa Wamena', '2026-05-30'], ['Royce Woolridge', 'endMemberOf', 'Exeter City Women F. C.', '2026-05-30'], ['Christopher Gomez', 'startMemberOf', 'Bonnyrigg White Eagles FC', '2026-05-31']]
[['Piotr Zieliński', 'startMemberOf', 'Simba S. C.', '2026-05-31'], ['Álex García ( footballer, born 1984)', 'startWorksFor', 'Oxford United F. C.', '2026-05-31'], ['Geraldo Alves ( footballer, born 1980)', 'endMemberOf', 'FC Astra Giurgiu', '2026-05-31'], ['Limar Wilson', 'startWorksFor', 'A. C. ChievoVerona', '2026-05-31']]
[['Virginia Rodríguez Rece', 'endMemberOf', 'Patí Hoquei Club Sant Cugat', '2026-05-31'], ['Sebas Coris', 'endMemberOf', 'FC Spartak-UGP Anapa', '2026-05-31'], ['Dmitry Kotov', 'endMemberOf', 'Real Oviedo', '2026-05-31'], ['Mabululu', 'startMemberOf', 'G. D. Sagrada Esperança', '2026-05-31']]
[['Lawrence Aidoo', 'startMemberOf', 'Ottawa Fury FC', '2026-05-31'], ['Mattias Lindström ( footballer)', 'startMemberOf', 'Eintracht Braunschweig II', '2026-06-01'], ['Muhammad Roby', 'startMemberOf', 'Persepam Madura Utama', '2026-06-01'], ['Mpho Moloi', 'endMemberOf', 'Thanda Royal Zulu F. C.', '2026-06-01']]
[['Parysh Munroe', 'startWorksFor', 'FC Amkar Perm', '2026-06-01'], ['Lisa Feldman Barrett', 'startMemberOf', 'Panionios F. C.', '2026-06-01'], ['Yuriy Virt', 'startMemberOf', 'Serbia national under-19 football team', '2026-06-01'], ['Antony Lecointe', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-01']]
[['Michaël Goossens', 'startMemberOf', 'FK Borac Čačak', '2026-06-01'], ['Pauline Martin', 'startMemberOf', 'Allianz MTV Stuttgart', '2026-06-01'], ['Andrei Truță', 'endMemberOf', 'ASC Daco-Getica București', '2026-06-01'], ['Romane Auvergne', 'endMemberOf', 'Brescia Calcio', '2026-06-01']]
[['Anna Winkler', 'endMemberOf', 'Chester F. C.', '2026-06-01'], ['Abdullah Al Bahri', 'endWorksFor', 'Joinville Esporte Clube', '2026-06-01'], ['Timo Teniste', 'startMemberOf', 'Fredrikstad FK', '2026-06-01'], ['Imed Mhedhebi', 'startMemberOf', 'Ottawa Fury FC', '2026-06-01']]
[['Haibo Guo', 'endMemberOf', 'Hellas Verona F. C.', '2026-06-01'], ['Aleksandr Fedulov', 'endMemberOf', 'FC Kaluga', '2026-06-01'], ['Rustem Shagitov', 'startMemberOf', 'Ottawa Fury FC', '2026-06-01'], ['Silje Evjenth Bentsen', 'endMemberOf', 'BG Pathum United F. C.', '2026-06-01']]
[['Romain Danzé', 'startMemberOf', 'Çaykur Rizespor', '2026-06-01'], ['Callum McNaughton', 'startMemberOf', 'Switzerland national under-23 football team', '2026-06-01'], ['Ioannis Chadjivasilis', 'startMemberOf', 'FC Andorra', '2026-06-01'], ['Marylin Díaz', 'startMemberOf', 'Tigres UANL', '2026-06-01']]
[['Ashutosh Rath', 'startMemberOf', 'Enosi Alexandroupoli', '2026-06-01'], ['Mauricio Casierra', 'startMemberOf', 'Racing de Córdoba', '2026-06-01'], ['Andreas Raudsepp', 'endMemberOf', 'Estonia national under-21 football team', '2026-06-01'], ['Lucas Acosta ( footballer, born 1988)', 'startMemberOf', 'UD Vecindario', '2026-06-01']]
[['Gakuto Notsuda', 'startMemberOf', 'Urawa Red Diamonds', '2026-06-01'], ['Illiasu Shilla', 'startMemberOf', 'Tema Youth F. C.', '2026-06-01'], ['Muhammet Demir', 'startMemberOf', 'Çaykur Rizespor', '2026-06-01'], ['Davor Burcsa', 'endMemberOf', 'HNK Cibalia', '2026-06-01']]
[['Cicinho ( footballer, born 1988)', 'endMemberOf', 'Associação Atlética Ponte Preta', '2026-06-01'], ['Orbelín Pineda', 'endWorksFor', 'University of Tokyo', '2026-06-01'], ['Yaya Sanogo', 'endMemberOf', 'Ottawa Fury FC', '2026-06-01'], ['Marc Recasens', 'startMemberOf', 'Júbilo Iwata', '2026-06-01']]
[['Johanna Burton', 'endMemberOf', 'New York City FC', '2026-06-01'], ['Mark Pearson', 'startMemberOf', 'Arsenal F. C.', '2026-06-01'], ['Arron Jameson', 'startWorksFor', 'Agrotikos Asteras F. C.', '2026-06-01'], ['Evan Brown ( soccer)', 'endMemberOf', 'Seattle Sounders FC', '2026-06-01']]
[['Radivoje Manić', 'endMemberOf', 'OFK Mladenovac', '2026-06-01'], ['Aaron Ledgister', 'startMemberOf', 'Fehérvár FC', '2026-06-01'], ['Alessandro Crescenzi', 'startMemberOf', 'Olbia Calcio 1905', '2026-06-01'], ['Elton Muçollari', 'startMemberOf', 'Puszcza Niepołomice', '2026-06-01']]
[['Denis Boyarintsev', 'startWorksFor', 'Mansfield Town F. C.', '2026-06-01'], ['Ryan Butt', 'startWorksFor', 'Club Nacional de Football', '2026-06-01'], ['Kaarel Kiidron', 'endMemberOf', 'Estonia national under-23 football team', '2026-06-01'], ['Mory Koné', 'endMemberOf', 'Centers for Disease Control and Prevention', '2026-06-01']]
[['William Henrique', 'endMemberOf', 'Agremiação Sportiva Arapiraquense', '2026-06-01'], ['Oskar Johansson ( footballer)', 'endMemberOf', 'Örebro SK Ungdom', '2026-06-02'], ['Elston Turner Jr.', 'endMemberOf', 'FC Astrakhan', '2026-06-02'], ['Heinrich Breloer', 'startWorksFor', 'Racing de Córdoba', '2026-06-02']]
[['Henrik Dahl ( footballer)', 'endMemberOf', 'Bærum SK', '2026-06-02'], ['Winnie Chan', 'startMemberOf', 'Cruzeiro Esporte Clube', '2026-06-02'], ['Bassala Touré', 'endMemberOf', 'GS Ilioupolis', '2026-06-02'], ['Oscar Jansson', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-06-02']]
[['Toni Järvinen', 'startMemberOf', 'Panionios F. C.', '2026-06-02'], ['Luis Cetin', 'startMemberOf', 'Panthrakikos F. C.', '2026-06-02'], ['Brad Inman ( soccer)', 'startMemberOf', 'Çaykur Rizespor', '2026-06-02'], ['Aleksei Solovyov ( footballer)', 'startMemberOf', 'FC Krasnodar', '2026-06-03']]
[['Mihai Dăscălescu', 'startMemberOf', 'FC Andorra', '2026-06-03'], ['Troy Perkins', 'startMemberOf', 'Ottawa Fury FC', '2026-06-04'], ['Özkan Koçtürk', 'endMemberOf', 'BSV Ölper 2000', '2026-06-04'], ['Daniel Åkervall', 'startMemberOf', 'Sarpsborg 08 FF', '2026-06-05']]
[['José Carlos Chastre', 'startMemberOf', 'S. C. Farense', '2026-06-05'], ['Leandro Díaz ( footballer, born 1986)', 'startMemberOf', 'S. F. K. Pierikos ( football)', '2026-06-05'], ['Saša Ćirić', 'startMemberOf', 'Ottawa Fury FC', '2026-06-06'], ['Joey Dillon', 'endMemberOf', 'Detroit City FC', '2026-06-06']]
[['Leo ( footballer, born November 1989)', 'startMemberOf', 'Trat F. C.', '2026-06-06'], ['Robin Hart', 'endMemberOf', 'Edmonton Aviators', '2026-06-06'], ['Kirill Gashichev', 'startMemberOf', 'PFC Spartak Nalchik', '2026-06-06'], ['Víctor M Mora-Bautista', 'startWorksFor', 'FC Kryvbas Kryvyi Rih', '2026-06-06']]
[['William Mokoena', 'endMemberOf', 'Black Leopards F. C.', '2026-06-06'], ['Machel Millwood', 'endMemberOf', 'Crystal Palace Baltimore', '2026-06-06'], ['Viktor Borel', 'endMemberOf', 'FC Prykarpattia Ivano-Frankivsk ( 2004)', '2026-06-06'], ['Magnum Rolle', 'startWorksFor', 'FC Gomel', '2026-06-06']]
[['Andrea Belotti', 'startMemberOf', 'Virtus Entella', '2026-06-06'], ['Alexios Michail', 'startMemberOf', 'Panthrakikos F. C.', '2026-06-06'], ['Andreas Hölzl', 'startMemberOf', 'Panthrakikos F. C.', '2026-06-06'], ['Alban Jusufi', 'endMemberOf', 'Högaborgs BK', '2026-06-06']]
[['André Valente', 'endMemberOf', 'FK Senica', '2026-06-06'], ['Ritchie Kotschau', 'endMemberOf', 'HNK Brotnjo', '2026-06-06'], ['Guohua Cao', 'endMemberOf', 'Júbilo Iwata', '2026-06-06'], ['Alexandre Brito', 'startMemberOf', 'Fehérvár FC', '2026-06-06']]
[['Gonzalo Vega ( footballer)', 'startMemberOf', 'Nacional Potosí', '2026-06-06'], ['Lazar Popović', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-06'], ['Ivan Georgiev ( footballer)', 'startMemberOf', 'PFC Akademik Sofia', '2026-06-06'], ['Mikhail Sivakow', 'startMemberOf', 'Olbia Calcio 1905', '2026-06-06']]
[['Joe Chalmers', 'endMemberOf', 'Forfar Athletic F. C.', '2026-06-06'], ['Ryan Smillie', 'startMemberOf', 'Celtic F. C.', '2026-06-06'], ['Daniele Amerini', 'startMemberOf', 'FC Andorra', '2026-06-06'], ['Tatsuya Tsuruta', 'startMemberOf', 'South Korea national football team generic instance', '2026-06-06']]
[['Denis Petrić', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-06'], ['Mohsen Bengar', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-06-06'], ['Meshal Al-Mouri', 'startMemberOf', 'Al-Shamal SC', '2026-06-06'], ['Pierluigi Frattali', 'startMemberOf', 'A. S. Pro Piacenza 1919', '2026-06-06']]
[['Simon Falokun', 'startMemberOf', 'Northampton Town F. C.', '2026-06-06'], ['Vitali Komisov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-06-06'], ['Ricardo Villar ( Brazilian footballer)', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-06'], ['João Ricardo ( footballer, born 1991)', 'endMemberOf', 'Gondomar S. C.', '2026-06-06']]
[['Thomas Wörle', 'startMemberOf', 'Ottawa Fury FC', '2026-06-06'], ['Jasmin Fejzić', 'endMemberOf', 'Unión Española', '2026-06-06'], ['Dusan K U002E Bozanic', 'endMemberOf', 'VfR Aalen', '2026-06-06'], ['Jamie Harney', 'startMemberOf', 'Celtic F. C.', '2026-06-06']]
[['Jacob D Taylor', 'startWorksFor', 'Trat F. C.', '2026-06-06'], ['Anthony Lippini', 'startMemberOf', 'Panthrakikos F. C.', '2026-06-06'], ['Marcel Mácha', 'endMemberOf', 'FC Viktoria Plzeň', '2026-06-06'], ['Charles Asampong Taylor', 'endMemberOf', 'Rangers International F. C.', '2026-06-06']]
[['Lee Rochester Sørensen', 'endMemberOf', 'FC Cincinnati ( 2016– 2018)', '2026-06-06'], ['Marlon Hairston', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-06'], ['Saliou Diallo', 'startMemberOf', 'FC Vestsjælland', '2026-06-06'], ['Matko Djarmati', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-06']]
[['Christoph Spatzenegger', 'endMemberOf', 'FC Red Bull Salzburg', '2026-06-06'], ['Sok Pheng ( footballer)', 'endMemberOf', 'Boeung Ket Angkor FC', '2026-06-06'], ['Hugo Sosa', 'endMemberOf', 'Club San José', '2026-06-06'], ['Moshe Abutbul ( footballer)', 'startMemberOf', 'Hapoel Ironi Safed F. C.', '2026-06-06']]
[['Nikos Kounenakis', 'startMemberOf', 'FC Andorra', '2026-06-06'], ['Massimilian Porcello', 'startMemberOf', 'Ottawa Fury FC', '2026-06-06'], ['Ivan Vargić', 'endMemberOf', 'Croatia national under-20 football team', '2026-06-06'], ['Claudio Pani', 'endMemberOf', 'South Korea national football team generic instance', '2026-06-06']]
[['Simeone Dussoni', 'startMemberOf', 'Preston North End F. C.', '2026-06-06'], ['Žan Majer', 'startMemberOf', 'ND Mura 05', '2026-06-07'], ['Edmilson ( footballer, born 26 June 1980)', 'startMemberOf', 'S. C. Farense', '2026-06-07'], ['David Valle', 'endMemberOf', 'Polideportivo Ejido', '2026-06-07']]
[['Srđan Stanić ( footballer, born 1982)', 'endMemberOf', 'Ferencvárosi TC', '2026-06-08'], ['Alex Alves ( footballer, born 1975)', 'startMemberOf', 'Fehérvár FC', '2026-06-09'], ['Jasper Verwilt', 'endMemberOf', 'Coronel Bolognesi', '2026-06-09'], ['Héctor Cruz ( footballer)', 'startMemberOf', 'NOVA School of Science and Technology', '2026-06-09']]
[['Óscar Cerén', 'startMemberOf', 'C. D. Dragón', '2026-06-10'], ['Mohamad Afa Al Rifai', 'startMemberOf', 'Churchill Brothers FC Goa', '2026-06-10'], ['Matej Podstavek', 'startMemberOf', 'Catania S. S. D.', '2026-06-10'], ['Vid Belec', 'startMemberOf', 'Olbia Calcio 1905', '2026-06-10']]
[['Joenal Castma', 'startMemberOf', 'Racing CH', '2026-06-11'], ['Jozef Talian', 'endMemberOf', 'ŠK Odeva Lipany', '2026-06-11'], ['Ma Liang ( footballer)', 'endMemberOf', 'Jiangsu F. C.', '2026-06-12'], ['Sasho Petrovski', 'startMemberOf', 'Kırıkkale Büyük Anadoluspor', '2026-06-13']]
[['Jordyn Adams', 'startWorksFor', 'FC Slavia Mozyr', '2026-06-13'], ['Simon Davies ( footballer, born 1979)', 'startMemberOf', 'Great Wakering Rovers F. C.', '2026-06-13'], ['Nate Cooper', 'endMemberOf', 'Northwich Victoria F. C.', '2026-06-13'], ['Arkadiusz Kosior', 'startMemberOf', 'Júbilo Iwata', '2026-06-13']]
[['Jaber Ansari', 'startMemberOf', 'Gol Gohar Sirjan F. C.', '2026-06-13'], ['Fabinho Azevedo', 'endMemberOf', 'C. D. Platense Municipal Zacatecoluca', '2026-06-13'], ['Methembe Ndlovu', 'startMemberOf', 'Marine A. F. C.', '2026-06-13'], ['Maximiliano Timpanaro', 'endMemberOf', 'FK Dinamo Tirana', '2026-06-13']]
[['Wesley Deenen', 'startMemberOf', 'Fehérvár FC', '2026-06-13'], ['Alex Asamoah', 'startMemberOf', 'South Korea national football team generic instance', '2026-06-13'], ['Louis Aniweta', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-14'], ['Muhammad Manjurul Karim', 'endMemberOf', 'FC Smorgon', '2026-06-15']]
[['Maciej Wilusz', 'startMemberOf', 'FC Saxan', '2026-06-16'], ['Stefan Vukmirović', 'startMemberOf', 'FK Sinđelić Beograd', '2026-06-16'], ['Sebastian Olszar', 'startMemberOf', 'Concordia Piotrków Trybunalski', '2026-06-16'], ['Gill Voria', 'startMemberOf', 'Olbia Calcio 1905', '2026-06-16']]
[['Johnny Vegas ( footballer)', 'startMemberOf', 'Coronel Bolognesi', '2026-06-18'], ['Théo Bongonda', 'endMemberOf', 'Trabzonspor', '2026-06-18'], ['Ian Bogie', 'startMemberOf', 'Lincoln United F. C.', '2026-06-19'], ['Eduard Gutiérrez', 'startMemberOf', 'Genoa C. F. C.', '2026-06-19']]
[['Lisa Umbach', 'startMemberOf', 'Bayer 04 Leverkusen ( women)', '2026-06-20'], ['Danilo Peinado', 'startMemberOf', 'FC Andorra', '2026-06-20'], ['Milton Erick Melgar', 'startMemberOf', 'Trujillanos F. C.', '2026-06-20'], ['Ljubica Kecman', 'endMemberOf', 'OK Crvena Zvezda', '2026-06-20']]
[['Fran Miranda', 'startMemberOf', 'Puerto Real CF', '2026-06-20'], ['Xinkai Qiu', 'startWorksFor', 'Lleida Esportiu', '2026-06-20'], ['Mohamed Akel', 'endMemberOf', 'Hapoel Hadera F. C.', '2026-06-20'], ['Leon Whittaker', 'endMemberOf', 'Scholars International SC', '2026-06-20']]
[['Keith Smith', 'endMemberOf', 'Clitheroe F. C.', '2026-06-20'], ['Sara Ismael', 'startMemberOf', 'Sevilla FC ( women)', '2026-06-20'], ['John K Travers', 'startMemberOf', 'FC Rostov', '2026-06-20'], ['Francisco Rojas ( footballer, born 1991)', 'endMemberOf', 'S. D. Aucas', '2026-06-20']]
[['Andrea Sarzynski', 'startWorksFor', 'Antalyaspor', '2026-06-20'], ['Iain Fraser ( soccer)', 'startMemberOf', 'Harrisburg Heat ( 1991– 2003)', '2026-06-20'], ['Emueje Ogbiagbevha', 'startMemberOf', 'São José Esporte Clube ( women)', '2026-06-20'], ['Flavinho ( footballer, born 1981)', 'startMemberOf', 'FK Ventspils', '2026-06-20']]
[['Mutaro Embalo', 'startWorksFor', 'AC Bellinzona', '2026-06-20'], ['Ashish Saxena', 'endMemberOf', 'FC Andorra', '2026-06-20'], ['Dmitry Antonov', 'startMemberOf', 'FC Kryvbas Kryvyi Rih', '2026-06-20'], ['Ivan Kryvosheyenko', 'startMemberOf', 'FK Sinđelić Beograd', '2026-06-20']]
[['Mihails Zemļinskis', 'startMemberOf', 'Latvia national football team', '2026-06-20'], ['Nikolay Kolesnichenko', 'startMemberOf', 'FK Ventspils', '2026-06-20'], ['Jeannette Dyer', 'startMemberOf', 'VfR Aalen', '2026-06-20'], ['Mila Marinova', 'endWorksFor', 'Wigan Athletic F. C.', '2026-06-20']]
[['Edin Rustemović', 'endMemberOf', 'FK Drina Zvornik', '2026-06-21'], ['Frane Ikić', 'endMemberOf', 'Croatia national under-19 football team', '2026-06-21'], ['David Witteveen', 'startMemberOf', 'Fehérvár FC', '2026-06-21'], ['Jakub Czerwiński', 'startMemberOf', 'Catania S. S. D.', '2026-06-21']]
[['Marián Tomčák', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-22'], ['Balázs Tóth ( footballer, born 1981)', 'startMemberOf', 'Fehérvár FC', '2026-06-22'], ['Mehmet Çoğum', 'endMemberOf', 'Konyaspor', '2026-06-23'], ['Jean-Jacques Eydelie', 'startMemberOf', 'Salgaocar FC', '2026-06-24']]
[['Clara J Fernández-Álvarez', 'startMemberOf', 'Rot-Weiss Essen', '2026-06-26'], ['Chaly Jones', 'startMemberOf', 'FC Andorra', '2026-06-27'], ['Ståle Solbakken', 'startMemberOf', 'FC Vestsjælland', '2026-06-27'], ['Carlos Fumo', 'startMemberOf', 'FC Andorra', '2026-06-27']]
[['Nurbol Zhumaskaliyev', 'startMemberOf', 'Çaykur Rizespor', '2026-06-27'], ['Mateusz Kamiński', 'startMemberOf', 'Nazilli Belediyespor', '2026-06-27'], ['Didier Sossa', 'startMemberOf', 'Basáñez', '2026-06-27'], ['Cyril Cassese', 'startMemberOf', 'Asteras Magoula F. C.', '2026-06-28']]
[['Francisco Bazán', 'startMemberOf', 'FC Andorra', '2026-06-28'], ['Harry Wilson ( footballer, born 1997)', 'startMemberOf', 'Arsenal F. C.', '2026-06-29'], ['Georgi Karaneychev', 'startMemberOf', 'FC Andorra', '2026-06-29'], ['Bo Vonk', 'startMemberOf', 'Excelsior Rotterdam', '2026-06-30']]
[['Antonio Guayre', 'endMemberOf', 'Fundação para a Ciência e Tecnologia', '2026-06-30'], ['Vítor Silva ( footballer, born 1982)', 'endMemberOf', 'Gondomar S. C.', '2026-06-30'], ['Mayank Kaushal', 'endWorksFor', 'FK Ventspils', '2026-06-30'], ['Marcus Bradley', 'startMemberOf', 'Villarreal CF', '2026-06-30']]
[['Dmitry Goryachkin', 'startMemberOf', 'NK Celje', '2026-06-30'], ['Kyle Yamada', 'endMemberOf', 'FC Edmonton', '2026-06-30'], ['Sascha Mölders', 'startMemberOf', 'Ottawa Fury FC', '2026-06-30'], ['Aristidis Lottas', 'endMemberOf', 'Ottawa Fury FC', '2026-06-30']]
[['Nina Windmüller', 'startMemberOf', 'Germany women\' s national under-23 football team', '2026-06-30'], ['Jason A Keller', 'endMemberOf', 'Fehérvár FC', '2026-06-30'], ['Christel Neudeck', 'startMemberOf', 'FK Sūduva', '2026-06-30'], ['Nathan Adams', 'startWorksFor', 'Ceará Sporting Club', '2026-06-30']]
[['Elsa Arrestad', 'startMemberOf', 'Engelholms Vs', '2026-06-30'], ['Hans Erik Ødegaard', 'startMemberOf', 'FC Vestsjælland', '2026-06-30'], ['Raúl López ( footballer, born 1976)', 'endMemberOf', 'Cádiz CF', '2026-06-30'], ['Jang Dong-hyun', 'startMemberOf', 'Júbilo Iwata', '2026-06-30']]
[['Shuangyi Liu', 'endMemberOf', 'Doncaster Rovers F. C.', '2026-06-30'], ['Ahmet Demirhan Uygun', 'startWorksFor', 'Panthrakikos F. C.', '2026-06-30'], ['Jordan Jackson ( soccer)', 'endMemberOf', 'Houston Dash', '2026-06-30'], ['Amit Shukla', 'endMemberOf', 'Kenya Kongonis Cricket Club', '2026-06-30']]
