[['Clint Hill ( Secret Service)', 'endMemberOf', 'Arkansas– Pine Bluff Golden Lions men\' s basketball', '2026-01-01']]
[['Waleed Al-Gizani', 'startMemberOf', 'FK Voždovac', '2026-05-01']]
[['Arachu Castro', 'endMemberOf', 'University of Nevada, Reno', '2026-05-01']]
[['Kenny Harris', 'startMemberOf', 'Kidderminster Harriers F. C.', '2026-05-01']]
[['Benny Trakhtenbrot', 'endMemberOf', 'West Virginia Mountaineers men\' s basketball', '2026-05-01']]
[['Al Rapier', 'startMemberOf', 'Texas Longhorns men\' s basketball', '2026-05-01']]
[['Jan Slabák', 'startMemberOf', 'Indiana University Bloomington', '2026-05-01']]
[['Nick Dawson', 'endWorksFor', 'University of Texas at Austin', '2026-05-01']]
[['Paul Rube', 'endWorksFor', 'SK Kladno', '2026-05-01']]
[['Dwayne Sandy', 'endMemberOf', 'Morvant Caledonia United', '2026-05-01']]
[['Tyrone Wooten', 'endMemberOf', 'Louisiana Ragin\' Cajuns men\' s basketball', '2026-05-01']]
[['Michael Gely', 'endMemberOf', 'Boise State Broncos men\' s basketball', '2026-05-01']]
[['Allu Amarnath Reddy', 'endWorksFor', 'University of Aveiro', '2026-05-01']]
[['Claude Giroux', 'endMemberOf', 'Philadelphia Flyers', '2026-05-01']]
[['Derek Digby', 'endMemberOf', 'Southampton F. C.', '2026-05-01']]
[['Harry Johnston', 'endMemberOf', 'Memphis Tigers men\' s basketball', '2026-05-01']]
[['Craig Martin ( ice hockey)', 'startMemberOf', 'Maharaja Sayajirao University of Baroda', '2026-05-01']]
[['Mogogi Gabonamong', 'endMemberOf', 'Santos F. C. ( South Africa)', '2026-05-01']]
[['Tahar Doghmi', 'endMemberOf', 'Raja CA', '2026-05-01']]
[['Derrian Gobourne', 'endMemberOf', 'Auburn Tigers women\' s gymnastics', '2026-05-01']]
[['Bryce Daley', 'startMemberOf', 'Ministry of Health and Medical Education', '2026-05-01']]
[['Ali Şaşal Vural', 'endMemberOf', 'Altay S. K.', '2026-05-01']]
[['Jerome Hall', 'startMemberOf', 'Central Español', '2026-05-01']]
[['John Enderby', 'startMemberOf', 'Watford F. C.', '2026-05-01']]
[['Maureen E Lynch', 'endMemberOf', 'RCD Mallorca', '2026-05-01']]
[['Rostov State Medical University', 'endMemberOf', 'Tampa Bay Rays', '2026-05-01']]
[['Harg', 'endMemberOf', 'University of California, Los Angeles', '2026-05-01']]
[['Peter Abdou', 'endWorksFor', 'St Johnstone F. C.', '2026-05-01']]
[['Mary J U002E Bancroft', 'startMemberOf', 'Wake Forest University', '2026-05-01']]
[['Cory Degroote', 'endMemberOf', 'Indiana State Sycamores men\' s basketball', '2026-05-01']]
[['Ramesh Pandian', 'endWorksFor', 'University of Madras', '2026-05-01']]
[['Hardangervidda National Park', 'startMemberOf', 'West Bromwich Albion F. C.', '2026-05-01']]
[['Greg Davis', 'endMemberOf', 'Russian Academy of Sciences', '2026-05-01']]
[['Javaris Crittenton', 'startMemberOf', 'Red Army Faction', '2026-05-01']]
[['Lucian Medrihan', 'endWorksFor', 'University of Bucharest', '2026-05-01']]
[['Alexandre M U002E Carmo', 'endWorksFor', 'University of Oxford', '2026-05-01']]
[['Jerry Johnson ( baseball)', 'endMemberOf', 'San Francisco Giants', '2026-05-01']]
[['Laurent de Palmas', 'endMemberOf', 'AS Cannes', '2026-05-01']]
[['Rodrigo ( footballer, born 1991)', 'endMemberOf', 'German Research Foundation', '2026-05-01']]
[['Jens Bochert', 'startMemberOf', 'FC Rapid București', '2026-05-01']]
[['Barbara Głowińska-Olszewska', 'startAcademicDegree', 'Diploma generic instance', '2026-05-01']]
[['Brice Pearson', 'endMemberOf', 'Nebraska Cornhuskers men\' s basketball', '2026-05-01']]
[['Mohammad Afkhami', 'endMemberOf', 'University of Sassari', '2026-05-01']]
[['Jordan Akwenuke', 'startMemberOf', 'Coritiba Foot Ball Club', '2026-05-01']]
[['Sam Timmins', 'startMemberOf', 'Sri Pahang F U002E C U002E ', '2026-05-01']]
[['Samuel Armoo', 'endMemberOf', 'Mersin İdman Yurdu', '2026-05-01']]
[['Billy Hainey', 'startMemberOf', 'Stade Lavallois', '2026-05-01']]
[['Luigi Cimmino', 'endWorksFor', 'Infn Sezione Di Napoli', '2026-05-01']]
[['Jordi Burgaya I Vilaró', 'endMemberOf', 'U. D. Oliveirense ( roller hockey)', '2026-05-01']]
[['Yvan Le Quéré', 'endMemberOf', 'German Research Foundation', '2026-05-01']]
[['Wescley ( footballer, born 1991)', 'startMemberOf', 'German Research Foundation', '2026-05-01']]
[['Daniel Peláez', 'endMemberOf', 'Alianza Atlético', '2026-05-01']]
[['Rysskobb', 'endLocation', 'Dragsfjärd', '2026-05-01']]
[['Bart Voskamp', 'endMemberOf', 'Team Polti', '2026-05-01']]
[['Jan Chapman', 'endMemberOf', 'AS Béziers Hérault ( football)', '2026-05-01']]
[['Brian Sheen', 'endMemberOf', 'Dartmouth College', '2026-05-01']]
[['Kepa Junkera', 'endMemberOf', 'Max Planck Institute for the History of Science', '2026-05-01']]
[['Helga Nadire İnan Ertürk', 'endMemberOf', 'Turkey women\' s national football team', '2026-05-01']]
[['Keith Coady', 'startMemberOf', 'Savannah State Tigers basketball', '2026-05-01']]
[['Karlas Gripado', 'startMemberOf', 'American Society of Genealogists', '2026-05-01']]
[['Isen A C Calderon', 'endMemberOf', 'Princeton Plasma Physics Laboratory', '2026-05-01']]
[['Frank Petrouskie', 'endMemberOf', 'Şanlıurfaspor', '2026-05-01']]
[['Françoise Mayeur', 'startMemberOf', 'Boston United F. C.', '2026-05-01']]
[['José Alejandro Aguilar López', 'endMemberOf', 'National Action Party ( Mexico)', '2026-05-01']]
[['Matt Haddrell', 'startMemberOf', 'George Washington Colonials men\' s basketball', '2026-05-01']]
[['Nikolai V U002E Priezjev', 'endMemberOf', 'América Futebol Clube ( SP)', '2026-05-01']]
[['Franz Leissing', 'startMemberOf', 'Southern Utah Thunderbirds men\' s basketball', '2026-05-01']]
[['Peng Li', 'endMemberOf', 'SD Amorebieta', '2026-05-01']]
[['Marouan Zarrouk', 'endMemberOf', 'UCF Knights men\' s basketball', '2026-05-01']]
[['Luciana Marti', 'endWorksFor', 'Duke University', '2026-05-01']]
[['Mike Rolf', 'endMemberOf', 'Cincinnati Bearcats men\' s basketball', '2026-05-01']]
[['Melanie A U002E Percy', 'endWorksFor', 'New York University', '2026-05-01']]
[['Elin Lehnbom', 'endWorksFor', 'University of Sydney', '2026-05-01']]
[['Sara Penzo', 'endMemberOf', 'FC Basel', '2026-05-01']]
[['Ying-Wei Yang', 'endWorksFor', 'Northwestern University', '2026-05-01']]
[['Kyle Reid', 'endMemberOf', 'Eastern Washington Eagles men\' s basketball', '2026-05-01']]
[['Howard Pierson', 'endMemberOf', 'Manhattan Jaspers men\' s basketball', '2026-05-01']]
[['Tanner Kero', 'startMemberOf', 'University of Milan', '2026-05-01']]
[['Esteban García', 'endWorksFor', 'History of Valle d\' Aosta Calcio', '2026-05-01']]
[['C U002E J U002E Scott', 'endMemberOf', 'Louisiana Tech Bulldogs basketball', '2026-05-01']]
[['Mark E\' Beyer', 'startMemberOf', 'Rotherham United F. C.', '2026-05-01']]
[['City of Carlisle', 'startMemberOf', 'FC Tom Tomsk', '2026-05-01']]
[['Hilda Sandtner', 'endMemberOf', 'Marino de Luanco', '2026-05-01']]
[['Dan Tulpan', 'endMemberOf', 'FC Argeș Pitești', '2026-05-01']]
[['Colombia', 'startMemberOf', 'King\' s College London', '2026-05-01']]
[['Gary Robson ( footballer)', 'startMemberOf', 'Portland State Vikings men\' s basketball', '2026-05-01']]
[['Albert Tian Chen', 'endWorksFor', 'Waters Corporation', '2026-05-01']]
[['Marius Hobolth', 'endMemberOf', 'Cykleklubben Fix Rødovre', '2026-05-01']]
[['Weifeng Li', 'endMemberOf', 'Arapongas Esporte Clube', '2026-05-01']]
[['Mario Gómez ( footballer, born February 1981)', 'startMemberOf', 'Hellas Verona F. C.', '2026-05-01']]
[['Darryl Young', 'endMemberOf', 'Eastern Kentucky Colonels men\' s basketball', '2026-05-01']]
[['Niklaas J U002E Buurma', 'endWorksFor', 'University of Sheffield', '2026-05-01']]
[['Louie Espinoza', 'startMemberOf', 'German Research Foundation', '2026-05-01']]
[['Sylvia Huot', 'endMemberOf', 'Hannover 96', '2026-05-01']]
[['Heinz Satrapa', 'endMemberOf', 'FC Erzgebirge Aue', '2026-05-01']]
[['Jeff Congdon', 'endMemberOf', 'BYU Cougars men\' s basketball', '2026-05-01']]
[['Thomas Ambrosius', 'startMemberOf', 'Rīgas Vef', '2026-05-01']]
[['Maxime Colin', 'endMemberOf', 'R. S. C. Anderlecht', '2026-05-01']]
[['John Knott ( scientist)', 'endMemberOf', 'German Research Foundation', '2026-05-01']]
[['Jordan Noblitt', 'endMemberOf', 'Cal State Northridge Matadors men\' s basketball', '2026-05-03']]
[['Marc Andre Fortin', 'endMemberOf', 'Sam Houston Bearkats men\' s basketball', '2026-05-03']]
[['Virginia Marugan-Hernandez', 'endWorksFor', 'Royal Veterinary College - Hawkshead Campus', '2026-05-03']]
[['Chris Carberry', 'endMemberOf', 'Australia national rugby union team', '2026-05-04']]
[['Kirill Sukhoversha', 'endMemberOf', 'FC Yakutiya Yakutsk', '2026-05-04']]
[['Hakan Cengiz', 'endMemberOf', 'VfB Oldenburg', '2026-05-04']]
[['Noriya Uedo', 'endWorksFor', 'Osaka International Cancer Institute', '2026-05-04']]
[['Silvino Intra Moreira', 'startMemberOf', 'German Research Foundation', '2026-05-05']]
[['Germán Cano', 'endMemberOf', 'Club Atlético Lanús', '2026-05-05']]
[['Pat McKenna ( footballer)', 'endMemberOf', 'St Johnstone F. C.', '2026-05-05']]
[['Julián Guillermo', 'endMemberOf', 'Club Atlético Banfield', '2026-05-05']]
[['Francesco Antonioli', 'endMemberOf', 'Modena F. C. 2018', '2026-05-05']]
[['Iuliu Hațieganu University of Medicine and Pharmacy', 'startMemberOf', 'France national football team generic instance', '2026-05-06']]
[['Mie Lillethorup', 'endWorksFor', 'Aarhus University', '2026-05-08']]
[['Giancarlo Fabrello', 'startMemberOf', 'Mamelodi Sundowns F. C.', '2026-05-08']]
[['Chuck Barker', 'startMemberOf', 'Palermo F. C.', '2026-05-08']]
[['Joseph D Deangelo', 'endWorksFor', 'Dana– Farber Cancer Institute', '2026-05-08']]
[['Mychal Covington', 'endMemberOf', 'Oakland Golden Grizzlies men\' s basketball', '2026-05-08']]
[['Maria Fredriksson', 'endWorksFor', 'Lund University', '2026-05-08']]
[['Brian Johnson', 'endMemberOf', 'Southern Jaguars basketball', '2026-05-09']]
[['Derek Saunders', 'endMemberOf', 'Chelsea F. C.', '2026-05-09']]
[['Tarık Kutver', 'startMemberOf', 'Berwick Rangers F. C.', '2026-05-09']]
[['Linyong Song', 'endWorksFor', 'Anhui University', '2026-05-09']]
[['Greg Carney', 'endMemberOf', 'Wichita State Shockers men\' s basketball', '2026-05-09']]
[['Jonathan Owen', 'startMemberOf', 'ŽNK Krka', '2026-05-10']]
[['Abbe Brown', 'endMemberOf', 'German Research Foundation', '2026-05-10']]
[['Michał Jakubczak', 'endWorksFor', 'Forest Research Institute', '2026-05-10']]
[['Cuibo Liu', 'endMemberOf', 'German Research Foundation', '2026-05-10']]
[['Sackie Doe', 'endWorksFor', 'PDM ( cycling team)', '2026-05-10']]
[['Dan Potocianu', 'startMemberOf', 'German Research Foundation', '2026-05-10']]
[['Andrew Denton', 'endMemberOf', 'Liberty Flames basketball', '2026-05-10']]
[['David M U002E Jonas', 'startMemberOf', 'Florida State Seminoles men\' s basketball', '2026-05-10']]
[['Tomislav Havojić', 'endMemberOf', 'NK Istra 1961', '2026-05-10']]
[['Chad Ferguson', 'startMemberOf', 'University of Pennsylvania', '2026-05-10']]
[['Charlie Taylor', 'startMemberOf', 'Darlington F. C.', '2026-05-10']]
[['Verlyn Anderson', 'endMemberOf', 'Wichita State Shockers men\' s basketball', '2026-05-10']]
[['Miguel Burns', 'startMemberOf', 'University of Pennsylvania', '2026-05-10']]
[['Nuno Morais', 'endMemberOf', 'JEF United Chiba', '2026-05-10']]
[['Roger Joe', 'startMemberOf', 'Portugal national under-20 football team', '2026-05-10']]
[['Dana A Cusano', 'endWorksFor', 'Syracuse University', '2026-05-10']]
[['Christophe Faudot', 'endMemberOf', 'Team TotalEnergies', '2026-05-10']]
[['Satoru Osanai', 'endMemberOf', 'German Research Foundation', '2026-05-10']]
[['Ian Johnson ( footballer, born 1983)', 'endMemberOf', 'Marine A. F. C.', '2026-05-10']]
[['Diego Cochas', 'endMemberOf', 'CSyD Tristán Suárez', '2026-05-10']]
[['Bogusław Plich', 'endMemberOf', 'Gwardia Warsaw', '2026-05-10']]
[['Morris Scott', 'startMemberOf', 'Fairleigh Dickinson Knights men\' s basketball', '2026-05-10']]
[['Pierre Sither', 'startMemberOf', 'S. S. C. Napoli', '2026-05-10']]
[['Mauricio G Magurno', 'endWorksFor', 'Hospital San Martin', '2026-05-10']]
[['Keith Hooker', 'endMemberOf', 'Addington F. C.', '2026-05-10']]
[['Ewan Hunter', 'endWorksFor', 'Swansea University', '2026-05-10']]
[['Bryan Richardson', 'endMemberOf', 'Chattanooga Mocs men\' s basketball', '2026-05-10']]
[['Yining County', 'endLocation', 'Ili Kazakh Autonomous Prefecture', '2026-05-10']]
[['Uwe Witt', 'endMemberOf', 'Centre Party ( Germany)', '2026-05-10']]
[['Christophe Faudot', 'endMemberOf', 'Team TotalEnergies', '2026-05-10']]
[['Paul Garelli', 'endWorksFor', 'Collège de France', '2026-05-10']]
[['Donna Jean Godchaux', 'startMemberOf', 'International Institute for Applied Systems Analysis', '2026-05-10']]
[['Stéphanie Allassonnière', 'endWorksFor', 'École polytechnique', '2026-05-10']]
[['Terry Tate', 'endMemberOf', 'Drexel University', '2026-05-10']]
[['John M U002E Edmiston', 'endWorksFor', 'R. E. Virton', '2026-05-10']]
[['Vedat Deniz', 'endWorksFor', 'Süleyman Demirel University', '2026-05-10']]
[['Lifeimi Mafi', 'endMemberOf', 'Munster Rugby', '2026-05-10']]
[['Nafis Richardson', 'endMemberOf', 'Sam Houston Bearkats men\' s basketball', '2026-05-10']]
[['Ray Harford', 'endPlaysIn', 'Premier League', '2026-05-11']]
[['Adalbert Kassai', 'endMemberOf', 'FC Argeș Pitești', '2026-05-11']]
[['Eigenheimerverband Deutschland', 'endLocation', 'Stuttgart', '2026-05-11']]
[['Leonardo Carboni', 'startWorksFor', 'German Research Foundation', '2026-05-11']]
[['Linda Llewellyn', 'startMemberOf', 'German Research Foundation', '2026-05-11']]
[['Kyle Hornsby', 'endMemberOf', 'Indiana Hoosiers men\' s basketball', '2026-05-11']]
[['Ahmed Al-Kassar', 'endMemberOf', 'Al Raed FC', '2026-05-12']]
[['Ricardo Simson', 'endMemberOf', 'Bethune– Cookman Wildcats men\' s basketball', '2026-05-12']]
[['Ricky Shumway', 'endMemberOf', 'BYU Cougars men\' s basketball', '2026-05-12']]
[['John O\' Shea ( rugby union)', 'startWorksFor', 'Modena F. C. 2018', '2026-05-12']]
[['Nityananda Chowdhury', 'endWorksFor', 'Pennsylvania State University Penn State World Campus', '2026-05-12']]
[['Štefan Chrtianský ( born 1989)', 'endMemberOf', 'Nantes Rezé Métropole Volley', '2026-05-12']]
[['Louise Mensch', 'endWorksFor', 'News Corp', '2026-05-12']]
[['Ramy Salemdeeb', 'endWorksFor', 'Ricardo-AEA', '2026-05-13']]
[['Shaun Thompson', 'endMemberOf', 'Mercer Bears men\' s basketball', '2026-05-13']]
[['Martín Vizcarra', 'endWorksFor', 'C Y M Vizcarra S U002E A U002E C U002E ', '2026-05-13']]
[['Shai Gilgeous-Alexander', 'endMemberOf', 'Kentucky Wildcats men\' s basketball', '2026-05-13']]
[['Shon Cooks', 'endMemberOf', 'Alabama State Hornets basketball', '2026-05-13']]
[['John W Craft', 'endWorksFor', 'Johnson Space Center', '2026-05-14']]
[['Danny Wuerffel', 'startMemberOf', 'Clemson University', '2026-05-14']]
[['Emmanuel Tselentakis', 'startMemberOf', 'Salgaocar FC', '2026-05-14']]
[['Anna Manaut', 'endMemberOf', 'CB Atlético Guardés', '2026-05-14']]
[['Rachael Boyle', 'endMemberOf', 'Forfar Farmington F. C.', '2026-05-14']]
[['Frances Ligler', 'endMemberOf', 'Cornell University', '2026-05-14']]
[['Koko\' o', 'endMemberOf', 'Mamelodi Sundowns F. C.', '2026-05-14']]
[['Ashley E Teasdale', 'startMemberOf', 'Le Havre AC', '2026-05-14']]
[['Kelsey S Montgomery', 'startMemberOf', 'KF Luftëtari', '2026-05-14']]
[['Ulrik Berglann', 'endMemberOf', 'Strømmen IF', '2026-05-14']]
[['Carlos Suárez ( basketball)', 'endMemberOf', 'Spain men\' s national basketball team', '2026-05-14']]
[['Lisanne Meis', 'endMemberOf', 'Tv Fischbek', '2026-05-14']]
[['Chris Hornbrook', 'endMemberOf', 'Indiana State Sycamores men\' s basketball', '2026-05-14']]
[['Marlene L Rothe', 'endWorksFor', 'Dow Europe', '2026-05-14']]
[['Bernhard Eisel', 'endMemberOf', 'Ineos Grenadiers', '2026-05-14']]
[['Ed Smith ( basketball)', 'endMemberOf', 'New York Knicks', '2026-05-14']]
[['Tomáš Votava', 'endMemberOf', 'Skála ÍF', '2026-05-14']]
[['Sheila Mukerjee', 'startMemberOf', 'Darlington F. C.', '2026-05-15']]
[['Frank Beaton', 'startMemberOf', 'German Research Foundation', '2026-05-15']]
[['Tim Murphy', 'endMemberOf', 'Colorado State Rams men\' s basketball', '2026-05-15']]
[['Kareem Carpenter', 'endMemberOf', 'Eastern Michigan Eagles men\' s basketball', '2026-05-15']]
[['Masataka Ohtani', 'endWorksFor', 'Riken', '2026-05-15']]
[['Matthias Egger', 'endWorksFor', 'Aarhus University', '2026-05-15']]
[['Muhammad Shafiq Jamal', 'endMemberOf', 'Kedah Darul Aman F. C.', '2026-05-15']]
[['Anthony Lagardère', 'endMemberOf', 'US Dax', '2026-05-15']]
[['David Dahlke', 'startMemberOf', 'German Research Foundation', '2026-05-16']]
[['Aled de Malmanche', 'endMemberOf', 'Waikato Rugby Union', '2026-05-16']]
[['Kurt M Lin', 'endWorksFor', 'National Yang-Ming University', '2026-05-16']]
[['Lakos János', 'endMemberOf', 'SC Tavriya Simferopol', '2026-05-16']]
[['Mikalay Yazerski', 'startMemberOf', 'Northwestern University', '2026-05-16']]
[['Massimo Paolucci', 'endWorksFor', 'Darlington F. C.', '2026-05-16']]
[['Constantinos C U002E Stoumpos', 'endWorksFor', 'Northwestern University', '2026-05-16']]
[['Wesley Sulzberger', 'endMemberOf', 'Team Jayco– AlUla ( men\' s team)', '2026-05-16']]
[['Gerhard Schöfl', 'endWorksFor', 'Leibniz Institute For Natural Product Research And Infection Biology', '2026-05-16']]
[['Alex Merlim', 'endMemberOf', 'Luparense F. C. ( futsal)', '2026-05-17']]
[['Vozinha', 'endMemberOf', 'Progresso Associação do Sambizanga', '2026-05-17']]
[['Gustav Klarskov Lauritzen', 'endMemberOf', 'Team Zealand Cycling Junior', '2026-05-18']]
[['Brian Hämäläinen', 'endMemberOf', 'S. V. Zulte Waregem', '2026-05-18']]
[['Daniel Biasini', 'startSpouse', 'Romy Schneider', '2026-05-18']]
[['Hamid R Djalilian', 'endWorksFor', 'University of California, Irvine', '2026-05-18']]
[['Sean Newton', 'endMemberOf', 'Droylsden F. C.', '2026-05-18']]
[['Jamal Thompson', 'startMemberOf', 'France national under-17 football team generic instance', '2026-05-19']]
[['Maryline Gygax Généro', 'startMemberOf', 'FCSB', '2026-05-19']]
[['Cameron Gayle', 'startMemberOf', 'Deutsche Gesellschaft für Internationale Zusammenarbeit', '2026-05-19']]
[['Satbeer Singh', 'endWorksFor', 'Indian Agricultural Research Institute', '2026-05-19']]
[['Ivan Cano', 'endWorksFor', 'University of Sheffield', '2026-05-20']]
[['Greg Morton', 'endMemberOf', 'Seton Hall Pirates men\' s basketball', '2026-05-20']]
[['Omar Sanders', 'endMemberOf', 'Morgan State Bears men\' s basketball', '2026-05-20']]
[['Niki M Zacharias', 'endWorksFor', 'Huntington Medical Research Institutes', '2026-05-21']]
[['John Heitinga', 'startMemberOf', 'German Research Foundation', '2026-05-21']]
[['Massimo Brescia', 'endWorksFor', 'University of Bari', '2026-05-21']]
[['Akila Mouhoubi', 'startMemberOf', 'Atlético Junior', '2026-05-21']]
[['Yuri N Osetskiy', 'endWorksFor', 'University of Liverpool', '2026-05-22']]
[['Desmond Penigar', 'endMemberOf', 'Utah State Aggies men\' s basketball', '2026-05-22']]
[['Vladimir Baskov', 'startMemberOf', 'Vini Caldirola', '2026-05-22']]
[['Ryan Floyd', 'startMemberOf', 'Paraná Clube', '2026-05-22']]
[['José Antonio Aznar-Moreno', 'endWorksFor', 'Washington State University', '2026-05-22']]
[['Artur Akhmetgalimov', 'endMemberOf', 'FC Dynamo Kirov', '2026-05-23']]
[['', 'endWorksFor', 'Yaroslav Mudryi National Law University', '2026-05-23']]
[['Justin Turner ( basketball)', 'endMemberOf', 'Bowling Green Falcons men\' s basketball', '2026-05-24']]
[['Jordan Halsman', 'endMemberOf', 'Albion Rovers F. C.', '2026-05-24']]
[['Jay Dahl', 'endMemberOf', 'Pacific Tigers men\' s basketball', '2026-05-25']]
[['Emiko Suzuki', 'endWorksFor', 'University of Tokyo', '2026-05-25']]
[['Jerome Williams', 'endMemberOf', 'Oregon Ducks men\' s basketball', '2026-05-25']]
[['Jitka Honzíková', 'endWorksFor', 'First Faculty of Medicine, Charles University', '2026-05-25']]
[['Alatini Saulala', 'endMemberOf', 'United States national rugby union team', '2026-05-25']]
[['John Burke', 'endMemberOf', 'LIU Sharks men\' s basketball', '2026-05-25']]
[['Ham Heung-chul', 'endMemberOf', 'South Korea national football team generic instance', '2026-05-26']]
[['Concepción Avila', 'endWorksFor', 'German Research Foundation', '2026-05-26']]
